Experiment,Seed,Run,Iteration,BestFitness,AverageFitness,WorstFitness,Conflicts,ConstraintViolationScore,FacultySatisfaction,TeachingFactor,LearningFactor,MutationRate,IterationTimeSeconds
Complete Adaptive TLBO,20260838,4,2,93.36,46.5648,0.0,0,0,92.5,1.96,0.54,0.3115,0.2559
Complete Adaptive TLBO,20260838,4,3,93.516,23.373,0.0,0,0,92.5,1.94,0.535,0.3001,0.3319
Complete Adaptive TLBO,20260838,4,4,93.6512,23.3959,0.0,0,0,92.5,1.92,0.53,0.2889,0.2963
Complete Adaptive TLBO,20260838,4,5,93.7376,34.9365,0.0,0,0,92.5,1.9,0.525,0.278,0.3188
Complete Adaptive TLBO,20260838,4,6,93.7376,34.9446,0.0,0,0,92.5,1.88,0.52,0.2673,0.2658
Complete Adaptive TLBO,20260838,4,7,93.7376,35.1516,0.0,0,0,92.5,1.86,0.515,0.2569,0.26
Complete Adaptive TLBO,20260838,4,8,93.7376,23.4344,0.0,0,0,92.5,1.84,0.51,0.2467,0.2405
Complete Adaptive TLBO,20260838,4,9,93.83,46.8454,0.0,0,0,92.5,1.82,0.505,0.2367,0.2804
Complete Adaptive TLBO,20260838,4,10,93.83,35.1747,0.0,0,0,92.5,1.8,0.5,0.227,0.2419
Complete Adaptive TLBO,20260838,4,11,93.83,35.1747,0.0,0,0,92.5,1.78,0.495,0.2175,0.261
Complete Adaptive TLBO,20260838,4,12,93.83,23.4575,0.0,0,0,92.5,1.76,0.49,0.2083,0.2479
Complete Adaptive TLBO,20260838,4,13,93.83,23.4575,0.0,0,0,92.5,1.74,0.485,0.1993,0.2624
Complete Adaptive TLBO,20260838,4,14,93.83,23.4575,0.0,0,0,92.5,1.72,0.48,0.1905,0.2591
Complete Adaptive TLBO,20260838,4,15,93.8792,23.4637,0.0,0,0,92.5,1.7,0.475,0.182,0.2938
Complete Adaptive TLBO,20260838,4,16,93.8792,23.4698,0.0,0,0,92.5,1.68,0.47,0.1737,0.272
Complete Adaptive TLBO,20260838,4,17,93.8792,23.4698,0.0,0,0,92.5,1.66,0.465,0.1657,0.2698
Complete Adaptive TLBO,20260838,4,18,93.8792,23.4698,0.0,0,0,92.5,1.64,0.46,0.1579,0.2522
Complete Adaptive TLBO,20260838,4,19,93.8792,35.068,0.0,0,0,92.5,1.62,0.455,0.1503,0.2693
Complete Adaptive TLBO,20260838,4,20,93.8792,23.4698,0.0,0,0,92.5,1.6,0.45,0.143,0.2372
Complete Adaptive TLBO,20260838,4,21,93.8792,23.4698,0.0,0,0,92.5,1.58,0.445,0.1359,0.2505
Complete Adaptive TLBO,20260838,4,22,93.8792,23.4698,0.0,0,0,92.5,1.56,0.44,0.1291,0.2485
Complete Adaptive TLBO,20260838,4,23,93.8792,23.4698,0.0,0,0,92.5,1.54,0.435,0.1225,0.2723
Complete Adaptive TLBO,20260838,4,24,93.8792,35.0075,0.0,0,0,92.5,1.52,0.43,0.1161,0.2639
Complete Adaptive TLBO,20260838,4,25,93.8792,35.0346,0.0,0,0,92.5,1.5,0.425,0.11,0.2563
Complete Adaptive TLBO,20260838,4,26,93.8792,23.4698,0.0,0,0,92.5,1.48,0.42,0.1041,0.2737
Complete Adaptive TLBO,20260838,4,27,93.8832,23.4703,0.0,0,0,92.5,1.46,0.415,0.0985,0.288
Complete Adaptive TLBO,20260838,4,28,93.8832,23.4708,0.0,0,0,92.5,1.44,0.41,0.0931,0.262
Complete Adaptive TLBO,20260838,4,29,93.8832,23.4708,0.0,0,0,92.5,1.42,0.405,0.0879,0.2484
Complete Adaptive TLBO,20260838,4,30,93.8832,23.4708,0.0,0,0,92.5,1.4,0.4,0.083,0.2522
Complete Adaptive TLBO,20260838,4,31,93.8832,35.2062,0.0,0,0,92.5,1.38,0.395,0.0783,0.2432
Complete Adaptive TLBO,20260838,4,32,93.8832,35.0905,0.0,0,0,92.5,1.36,0.39,0.0739,0.2288
Complete Adaptive TLBO,20260838,4,33,93.8832,23.4708,0.0,0,0,92.5,1.34,0.385,0.0697,0.2608
Complete Adaptive TLBO,20260838,4,34,93.8832,23.4708,0.0,0,0,92.5,1.32,0.38,0.0657,0.2384
Complete Adaptive TLBO,20260838,4,35,93.8832,46.7094,0.0,0,0,92.5,1.3,0.375,0.062,0.2124
Complete Adaptive TLBO,20260838,4,36,93.8832,58.4448,0.0,0,0,92.5,1.28,0.37,0.0585,0.2072
Complete Adaptive TLBO,20260838,4,37,93.8832,70.1802,0.0,0,0,92.5,1.26,0.365,0.0553,0.178
Complete Adaptive TLBO,20260838,4,38,93.8832,81.9951,0.0,0,0,92.5,1.24,0.36,0.0523,0.1644
Complete Adaptive TLBO,20260838,4,39,93.8832,93.7468,92.99,0,0,92.5,1.22,0.355,0.0495,0.1332
Complete Adaptive TLBO,20260838,4,40,93.8832,93.8585,93.6852,0,0,92.5,1.2,0.35,0.047,0.1395
Complete Adaptive TLBO,20260838,4,41,93.936,93.8898,93.8832,0,0,92.5,1.18,0.345,0.0447,0.1184
Complete Adaptive TLBO,20260838,4,42,93.936,93.8964,93.8832,0,0,92.5,1.16,0.34,0.0427,0.149
Complete Adaptive TLBO,20260838,4,43,93.936,93.903,93.8832,0,0,92.5,1.14,0.335,0.0409,0.1451
Complete Adaptive TLBO,20260838,4,44,93.936,93.9162,93.8832,0,0,92.5,1.12,0.33,0.0393,0.1444
Complete Adaptive TLBO,20260838,4,45,93.936,93.936,93.936,0,0,92.5,1.1,0.325,0.038,0.1097
Complete Adaptive TLBO,20260838,4,46,93.936,93.936,93.936,0,0,92.5,1.08,0.32,0.0369,0.1168
Complete Adaptive TLBO,20260838,4,47,93.936,93.936,93.936,0,0,92.5,1.06,0.315,0.0361,0.1025
Complete Adaptive TLBO,20260838,4,48,93.936,93.936,93.936,0,0,92.5,1.04,0.31,0.0355,0.0884
Complete Adaptive TLBO,20260838,4,49,93.936,93.936,93.936,0,0,92.5,1.02,0.305,0.0351,0.104
Complete Adaptive TLBO,20260838,4,50,93.936,93.936,93.936,0,0,92.5,1.0,0.3,0.035,0.1033
Complete Adaptive TLBO,20260839,5,1,93.1072,11.6384,0.0,0,0,92.5,1.98,0.545,0.3231,0.3342
Complete Adaptive TLBO,20260839,5,2,93.1072,23.2768,0.0,0,0,92.5,1.96,0.54,0.3115,0.2796
Complete Adaptive TLBO,20260839,5,3,93.1072,23.2768,0.0,0,0,92.5,1.94,0.535,0.3001,0.2783
Complete Adaptive TLBO,20260839,5,4,93.1072,23.2768,0.0,0,0,92.5,1.92,0.53,0.2889,0.2552
Complete Adaptive TLBO,20260839,5,5,93.2092,34.928,0.0,0,0,92.5,1.9,0.525,0.278,0.2733
Complete Adaptive TLBO,20260839,5,6,93.3076,23.319,0.0,0,0,92.5,1.88,0.52,0.2673,0.3024
Complete Adaptive TLBO,20260839,5,7,93.3076,23.3269,0.0,0,0,92.5,1.86,0.515,0.2569,0.2835
Complete Adaptive TLBO,20260839,5,8,93.38,34.9994,0.0,0,0,92.5,1.84,0.51,0.2467,0.2754
Complete Adaptive TLBO,20260839,5,9,93.5724,35.0476,0.0,0,0,92.5,1.82,0.505,0.2367,0.2852
Complete Adaptive TLBO,20260839,5,10,93.6552,23.4138,0.0,0,0,92.5,1.8,0.5,0.227,0.3222
Complete Adaptive TLBO,20260839,5,11,93.6552,23.4138,0.0,0,0,92.5,1.78,0.495,0.2175,0.2701
Complete Adaptive TLBO,20260839,5,12,93.6552,23.4138,0.0,0,0,92.5,1.76,0.49,0.2083,0.2654
Complete Adaptive TLBO,20260839,5,13,93.6552,23.4138,0.0,0,0,92.5,1.74,0.485,0.1993,0.2605
Complete Adaptive TLBO,20260839,5,14,93.6996,23.4194,0.0,0,0,92.5,1.72,0.48,0.1905,0.284
Complete Adaptive TLBO,20260839,5,15,93.6996,23.4249,0.0,0,0,92.5,1.7,0.475,0.182,0.2454
Complete Adaptive TLBO,20260839,5,16,93.8192,23.4398,0.0,0,0,92.5,1.68,0.47,0.1737,0.2598
Complete Adaptive TLBO,20260839,5,17,93.8192,23.4548,0.0,0,0,92.5,1.66,0.465,0.1657,0.2804
Complete Adaptive TLBO,20260839,5,18,93.8192,23.4548,0.0,0,0,92.5,1.64,0.46,0.1579,0.2504
Complete Adaptive TLBO,20260839,5,19,93.8192,35.1822,0.0,0,0,92.5,1.62,0.455,0.1503,0.2318
Complete Adaptive TLBO,20260839,5,20,93.906,35.193,0.0,0,0,92.5,1.6,0.45,0.143,0.2739
Complete Adaptive TLBO,20260839,5,21,93.906,46.875,0.0,0,0,92.5,1.58,0.445,0.1359,0.2362
Complete Adaptive TLBO,20260839,5,22,93.906,23.4765,0.0,0,0,92.5,1.56,0.44,0.1291,0.2375
Complete Adaptive TLBO,20260839,5,23,93.906,23.4765,0.0,0,0,92.5,1.54,0.435,0.1225,0.2386
Complete Adaptive TLBO,20260839,5,24,93.906,23.4765,0.0,0,0,92.5,1.52,0.43,0.1161,0.2701
Complete Adaptive TLBO,20260839,5,25,93.906,34.9935,0.0,0,0,92.5,1.5,0.425,0.11,0.2471
Complete Adaptive TLBO,20260839,5,26,93.906,23.4765,0.0,0,0,92.5,1.48,0.42,0.1041,0.27
